epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5209.11,0.93607,3.94247,1.45523,0.27989,0.27219,0.19119,0.13023,1.05163,3.21075,1.62143,0.0033287,0.0033287,0.0033287
1,1483.57,0.94277,4.32284,1.47559,0.22549,0.22344,0.1568,0.10881,0.97681,2.77104,1.56053,3.19722e-05,3.19722e-05,3.19722e-05
1,1503.47,0.88542,3.3976,1.54104,0.36294,0.33163,0.28964,0.20852,0.95457,2.31346,1.50435,3.19722e-05,3.19722e-05,3.19722e-05
2,2990.99,0.86857,2.65981,1.50918,0.37531,0.43191,0.37575,0.27267,0.93941,2.10825,1.48402,5.7639e-05,5.7639e-05,5.7639e-05
3,4433.7,0.85664,2.29282,1.48785,0.40596,0.46601,0.44277,0.32231,0.91162,1.92093,1.44874,7.69697e-05,7.69697e-05,7.69697e-05
4,5907.51,0.83563,2.02979,1.4577,0.46673,0.51904,0.5004,0.36463,0.93966,1.73107,1.47917,6.7488e-05,6.7488e-05,6.7488e-05
5,7390,0.80809,1.79066,1.42504,0.55169,0.53014,0.54894,0.40805,0.91163,1.66486,1.42852,5.7984e-05,5.7984e-05,5.7984e-05
6,8873.81,0.78101,1.61683,1.39673,0.56401,0.55104,0.5823,0.43181,0.89151,1.58163,1.4088,4.848e-05,4.848e-05,4.848e-05
7,10354.6,0.75466,1.47378,1.37206,0.57495,0.57551,0.60723,0.45343,0.89618,1.51491,1.4096,3.8976e-05,3.8976e-05,3.8976e-05
8,11839.5,0.73415,1.34354,1.35032,0.55214,0.6321,0.6205,0.46593,0.88008,1.43188,1.39759,2.9472e-05,2.9472e-05,2.9472e-05
9,13328.3,0.71322,1.24476,1.32687,0.58661,0.62093,0.6345,0.47737,0.88382,1.42169,1.39984,1.9968e-05,1.9968e-05,1.9968e-05
10,14804.8,0.69713,1.17136,1.31503,0.6163,0.61759,0.6433,0.48654,0.87414,1.38673,1.38695,1.0464e-05,1.0464e-05,1.0464e-05
1,2616.65,0.68673,1.12885,1.30495,0.61295,0.59308,0.63277,0.47371,0.8832,1.40872,1.41216,3.19556e-05,3.19556e-05,3.19556e-05
2,4437.49,0.70812,1.21581,1.32282,0.59532,0.58362,0.61774,0.46051,0.90099,1.48016,1.41875,5.75664e-05,5.75664e-05,5.75664e-05
3,6282.31,0.72399,1.25317,1.3382,0.57002,0.59014,0.61114,0.45586,0.9046,1.46506,1.42767,7.67836e-05,7.67836e-05,7.67836e-05
4,8258.82,0.72433,1.20596,1.33463,0.5979,0.60925,0.62736,0.46797,0.89921,1.4211,1.42669,6.72288e-05,6.72288e-05,6.72288e-05
5,10248.4,0.70142,1.10717,1.31067,0.61466,0.59834,0.64262,0.48074,0.90201,1.4092,1.41334,5.76384e-05,5.76384e-05,5.76384e-05
6,12250.3,0.67918,1.02282,1.29051,0.59875,0.63085,0.65176,0.48616,0.899,1.36794,1.4177,4.8048e-05,4.8048e-05,4.8048e-05
7,14267.2,0.66019,0.9491,1.27367,0.63112,0.60304,0.64803,0.48718,0.88355,1.35787,1.40327,3.84576e-05,3.84576e-05,3.84576e-05
8,16301,0.6328,0.86855,1.24901,0.60209,0.65865,0.66836,0.50472,0.87472,1.3196,1.40349,2.88672e-05,2.88672e-05,2.88672e-05
9,18367,0.61921,0.80955,1.23153,0.61062,0.67154,0.67953,0.51594,0.86796,1.28964,1.40329,1.92768e-05,1.92768e-05,1.92768e-05
10,20421.5,0.59249,0.76203,1.21014,0.62364,0.65886,0.67952,0.51621,0.87032,1.28631,1.39912,9.6864e-06,9.6864e-06,9.6864e-06
